date,Lido_APY,Lido_TVL
2024-03-15,3.691,36154873244.0
2024-03-16,3.225,34614117838.0
2024-03-17,3.311,35562183841.0
2024-03-18,3.125,34388397375.0
2024-03-19,3.954,31527947352.0
2024-03-20,3.415,34346162385.0
2024-03-21,3.422,34243203973.0
2024-03-22,3.219,32076695829.0
2024-03-23,3.345,32991205180.0
2024-03-24,3.015,33454878812.0
2024-03-25,3.165,34915326033.0
2024-03-26,3.467,34702003833.0
2024-03-27,3.255,33885814744.0
2024-03-28,3.186,34427611674.0
2024-03-29,3.299,33672616598.0
2024-03-30,3.119,33907787038.0
2024-03-31,3.07,35114644706.0
2024-04-01,3.127,33670763638.0
2024-04-02,3.501,31175779818.0
2024-04-03,3.413,31442373725.0
2024-04-04,3.384,31769947323.0
2024-04-05,3.489,31829397101.0
2024-04-06,3.347,31913090574.0
2024-04-07,3.041,32443916249.0
2024-04-08,3.148,35126869237.0
2024-04-09,3.22,33276151304.0
2024-04-10,3.36,33065845586.0
2024-04-11,3.45,32973417956.0
2024-04-12,3.146,30223893379.0
2024-04-13,4.31,27507790373.0
2024-04-14,4.436,29603525849.0
2024-04-15,3.101,29020898814.0
2024-04-16,3.551,29035947410.0
2024-04-17,3.191,28211076305.0
2024-04-18,3.237,28674723530.0
2024-04-19,3.295,28811666039.0
2024-04-20,3.173,29433218852.0
2024-04-21,2.94,29335706943.0
2024-04-22,3.058,29906775524.0
2024-04-23,3.098,30004411402.0
2024-04-24,3.742,29366085501.0
2024-04-25,3.293,29750078559.0
2024-04-26,3.058,29399844844.0
2024-04-27,3.004,30259833329.0
2024-04-28,2.942,30888607086.0
2024-04-29,3.031,29863072008.0
2024-04-30,3.046,27877082840.0
2024-05-01,3.31,27684411734.0
2024-05-02,3.103,28080831828.0
2024-05-03,2.934,29054286667.0
2024-05-04,2.999,29190217620.0
2024-05-05,2.829,29277399792.0
2024-05-06,2.887,28826959941.0
2024-05-07,2.922,28483572707.0
2024-05-08,2.955,27771200544.0
2024-05-09,2.91,28263829653.0
2024-05-10,2.934,27131548445.0
2024-05-11,2.894,27325475523.0
2024-05-12,2.812,27368608800.0
2024-05-13,2.888,27635739808.0
2024-05-14,3.087,27107555090.0
2024-05-15,2.997,28237127744.0
2024-05-16,3.043,27494295812.0
2024-05-17,2.906,28917923715.0
2024-05-18,2.776,29119269053.0
2024-05-19,2.853,28579330260.0
2024-05-20,2.88,34170060889.0
2024-05-21,3.936,35021996587.0
2024-05-22,3.183,34959045610.0
2024-05-23,3.191,35401832827.0
2024-05-24,4.24,34713288127.0
2024-05-25,3.022,34745485827.0
2024-05-26,2.959,35702895399.0
2024-05-27,3.103,36093901178.0
2024-05-28,3.222,36232785916.0
2024-05-29,3.151,35742418096.0
2024-05-30,3.237,35585717621.0
2024-05-31,3.275,35918322227.0
2024-06-01,3.131,36097095928.0
2024-06-02,3.15,35927306227.0
2024-06-03,3.266,35796738203.0
2024-06-04,3.179,36265529170.0
2024-06-05,3.258,36717862224.0
2024-06-06,3.499,36146875321.0
2024-06-07,3.372,35111188709.0
2024-06-08,3.319,34985076582.0
2024-06-09,3.044,35269566359.0
2024-06-10,3.242,34867335185.0
2024-06-11,3.577,33191496875.0
2024-06-12,3.263,33937043617.0
2024-06-13,3.674,33064632708.0
2024-06-14,3.073,33233388091.0
2024-06-15,3.126,33920186365.0
2024-06-16,2.956,34676399878.0
2024-06-17,2.945,33655561943.0
2024-06-18,3.203,33087509211.0
2024-06-19,3.005,34056850368.0
2024-06-20,3.096,33694429852.0
2024-06-21,2.989,33631149101.0
2024-06-22,2.88,33641774470.0
2024-06-23,2.947,32931721024.0
2024-06-24,3.007,32245121469.0
2024-06-25,3.044,32929269169.0
2024-06-26,2.966,32610176370.0
2024-06-27,2.979,33385636816.0
2024-06-28,3.133,32815057609.0
2024-06-29,2.822,32852223529.0
2024-06-30,2.788,33153014476.0
2024-07-01,2.997,33592760514.0
2024-07-02,2.975,33207938753.0
2024-07-03,3.04,32155306107.0
2024-07-04,3.401,30575326637.0
2024-07-05,4.085,28946851048.0
2024-07-06,3.033,29829267656.0
2024-07-07,2.836,28707713574.0
2024-07-08,2.92,29320772502.0
